"","artist","track","album","popularity","track_length","market....as.character.i."
"1","Radiohead","Creep","Pablo Honey",77,"03:58","US"
"2","Radiohead","Karma Police","OK Computer",71,"04:24","US"
"3","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","US"
"4","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","US"
"5","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","US"
"6","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","US"
"7","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","US"
"8","Radiohead","No Surprises","OK Computer",67,"03:49","US"
"9","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","US"
"10","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","US"
"11","Radiohead","Creep","Pablo Honey",77,"03:58","DE"
"12","Radiohead","Karma Police","OK Computer",71,"04:24","DE"
"13","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","DE"
"14","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","DE"
"15","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","DE"
"16","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","DE"
"17","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","DE"
"18","Radiohead","No Surprises","OK Computer",67,"03:49","DE"
"19","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","DE"
"20","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","DE"
"21","Radiohead","Creep","Pablo Honey",77,"03:58","GB"
"22","Radiohead","Karma Police","OK Computer",71,"04:24","GB"
"23","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","GB"
"24","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","GB"
"25","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","GB"
"26","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","GB"
"27","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","GB"
"28","Radiohead","No Surprises","OK Computer",67,"03:49","GB"
"29","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","GB"
"30","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","GB"
"31","Radiohead","Creep","Pablo Honey",77,"03:58","FR"
"32","Radiohead","Karma Police","OK Computer",71,"04:24","FR"
"33","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","FR"
"34","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","FR"
"35","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","FR"
"36","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","FR"
"37","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","FR"
"38","Radiohead","No Surprises","OK Computer",67,"03:49","FR"
"39","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","FR"
"40","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","FR"
"41","Radiohead","Creep","Pablo Honey",77,"03:58","AU"
"42","Radiohead","Karma Police","OK Computer",71,"04:24","AU"
"43","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","AU"
"44","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","AU"
"45","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","AU"
"46","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","AU"
"47","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","AU"
"48","Radiohead","No Surprises","OK Computer",67,"03:49","AU"
"49","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","AU"
"50","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","AU"
"51","Radiohead","Creep","Pablo Honey",77,"03:58","CA"
"52","Radiohead","Karma Police","OK Computer",71,"04:24","CA"
"53","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","CA"
"54","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","CA"
"55","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","CA"
"56","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","CA"
"57","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","CA"
"58","Radiohead","No Surprises","OK Computer",67,"03:49","CA"
"59","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","CA"
"60","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","CA"
"61","Radiohead","Creep","Pablo Honey",77,"03:58","BR"
"62","Radiohead","Karma Police","OK Computer",71,"04:24","BR"
"63","Radiohead","Burn the Witch","A Moon Shaped Pool",68,"03:40","BR"
"64","Radiohead","Fake Plastic Trees","The Bends",67,"04:50","BR"
"65","Radiohead","Decks Dark","A Moon Shaped Pool",67,"04:41","BR"
"66","Radiohead","Daydreaming","A Moon Shaped Pool",67,"06:24","BR"
"67","Radiohead","Present Tense","A Moon Shaped Pool",67,"05:06","BR"
"68","Radiohead","No Surprises","OK Computer",67,"03:49","BR"
"69","Radiohead","Identikit","A Moon Shaped Pool",66,"04:26","BR"
"70","Radiohead","True Love Waits","A Moon Shaped Pool",66,"04:43","BR"
"71","Radiohead","Creep","Pablo Honey",77,"03:58","IT"
